id,category,dataset,publisher,link,api,api_docs,format,licence,coverage,update_frequency,questions
ptal,Transport (Connectivity score),PTAL - Public Transport Accessibility Levels (the 0-6b / 9-band connectivity score CrystalRoof shows as x/9),Transport for London / GLA (London Datastore),https://data.london.gov.uk/dataset/public-transport-accessibility-levels,https://data.london.gov.uk/api/action/package_show?id=public-transport-accessibility-levels (CKAN API); interactive: TfL WebCAT,https://tfl.gov.uk/info-for/urban-planning-and-construction/planning-with-webcat/webcat,CSV / GIS grid via CKAN,Open Government Licence / TfL terms,Greater London (100m grid),Periodic (per TfL model runs),How well connected is this exact spot to the public transport network (0-6b scale)? | How does connectivity compare across candidate addresses?
fsa-fhrs,Amenities,"Food Hygiene Rating Scheme - every food business (restaurants, cafes, pubs, supermarkets, takeaways) with location and hygiene score",Food Standards Agency,https://ratings.food.gov.uk/,https://api.ratings.food.gov.uk/Establishments?latitude={lat}&longitude={lng}&maxDistanceLimit={miles} (header x-api-version: 2),https://api.ratings.food.gov.uk/Help,JSON/XML REST API (no key),Open Government Licence v3,"England, Wales & Northern Ireland (Scotland via FHIS)",Daily,"What restaurants, cafes, pubs and food shops are nearby? | How hygienic are they (0-5 rating)? | How 'foodie' vs residential is the area (density of venues)?"
nhs-ods,Amenities (Health),"NHS Organisation Data Service - GP practices, pharmacies, hospitals with locations",NHS England,https://www.odsdatasearchandexport.nhs.uk/,https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations?PostCode={postcode}&PrimaryRoleId=RO177,https://digital.nhs.uk/services/organisation-data-service/apis-for-the-organisation-data-service,JSON/XML REST API (no key),Open Government Licence v3,England,Daily/weekly,Which GP surgeries and pharmacies serve this postcode? | How far is the nearest A&E or hospital?
osm-overpass,Amenities / Noise point-sources,"OpenStreetMap via Overpass API - supermarkets, convenience stores, bars, nightclubs, churches, fire/ambulance stations (also used to flag noise sources)",OpenStreetMap contributors,https://www.openstreetmap.org/,https://overpass-api.de/api/interpreter (Overpass QL queries),https://wiki.openstreetmap.org/wiki/Overpass_API,"JSON/XML query API (no key, fair-use)",ODbL 1.0,Worldwide,Continuous (minutely diffs),"What amenities of any type are within X metres (gyms, parks, nurseries, nightclubs)? | Are there late-night venues, churches with bells, or emergency stations likely to cause noise nearby?"
gias,Schools,"Get Information about Schools (GIAS) - register of all schools with type, gender, admissions policy, capacity, coordinates",Department for Education,https://get-information-schools.service.gov.uk/,https://get-information-schools.service.gov.uk/Downloads (daily full CSV extracts),https://get-information-schools.service.gov.uk/Guidance/General,CSV bulk (daily); searchable web service,Open Government Licence v3,England,Daily,"Which schools are nearest, and are they state/faith/independent, mixed or single-sex? | What is each school's admission policy and capacity?"
ofsted,Schools (Ratings),"Ofsted inspection outcomes (management information, monthly)",Ofsted,https://www.gov.uk/government/statistical-data-sets/monthly-management-information-ofsteds-school-inspections-outcomes,CSV/ODS monthly files on GOV.UK (machine-readable downloads); joinable to GIAS by URN,https://www.gov.uk/government/organisations/ofsted/about/statistics,CSV / ODS,Open Government Licence v3,England,Monthly,What is each local school's latest Ofsted judgement and inspection date? | Are ratings in the catchment improving or declining?
dfe-performance,Schools (Results),"School performance tables (KS2 results, Progress 8, Attainment 8, A-level) + Explore Education Statistics",Department for Education,https://www.compare-school-performance.service.gov.uk/,https://www.compare-school-performance.service.gov.uk/download-data (CSV); EES API: https://explore-education-statistics.service.gov.uk/,https://explore-education-statistics.service.gov.uk/,CSV bulk; JSON API (EES),Open Government Licence v3,England,Annual,How do local schools' exam results and pupil progress compare? | Which nearby secondary has the best Progress 8 score?
defra-air,Environment (Air quality),"Defra UK-AIR modelled background pollution maps (annual NO2, PM10, PM2.5 on 1km grid) + monitoring network",Defra,https://uk-air.defra.gov.uk/data/pcm-data,https://uk-air.defra.gov.uk/data/pcm-data (CSV per pollutant-year); monitoring API via https://uk-air.defra.gov.uk/data/,https://uk-air.defra.gov.uk/data/,CSV (1km grid squares); SOS API for monitors,Open Government Licence v3,"UK, 1km resolution",Annual,What are annual mean NO2 / PM10 / PM2.5 levels at this location? | Does the area meet UK/EU/WHO air quality limits?
laqn,"Environment (Air quality, London)",London Air Quality Network - measured pollutant data from monitoring sites (the source CrystalRoof cites for London air quality),Imperial College London ERG,https://www.londonair.org.uk/,https://api.erg.ic.ac.uk/AirQuality/ (e.g. /Daily/MonitoringIndex/Latest/GroupName=London/Json),https://api.erg.ic.ac.uk/AirQuality/help,JSON/XML REST API (no key),Free to use with attribution,Greater London monitoring sites,Hourly,What is the measured air quality at the nearest monitoring station right now / historically? | How many high-pollution days does this part of London get?
ea-flood,Environment (Flood risk),Risk of Flooding from Rivers and Sea + Risk of Flooding from Surface Water (likelihood categories: very low to high),Environment Agency,https://check-long-term-flood-risk.service.gov.uk/,https://environment.data.gov.uk/dataset/bad20199-6d39-4aad-8564-26a46778fd94 (WMS/WFS + SHP via Defra Data Services Platform); real-time: https://environment.data.gov.uk/flood-monitoring/doc/reference,https://environment.data.gov.uk/flood-monitoring/doc/reference,"OGC WMS/WFS, Shapefile; JSON REST (real-time warnings, no key)",Open Government Licence v3,England,Quarterly (risk maps); 15-min (live warnings/levels),What is this property's long-term flood likelihood from rivers/sea and surface water? | Are there active flood warnings or high river levels nearby right now?
onspd,Geography backbone (all tabs),"ONS Postcode Directory (ONSPD/NSPL) + Open Geography Portal boundaries - maps every postcode to coordinates, LSOA/MSOA, ward, borough (CrystalRoof's 'Royal Mail' postcode layer, in open form)",ONS Geography,https://geoportal.statistics.gov.uk/,https://api.postcodes.io/postcodes/{postcode} (free JSON lookup built on ONSPD); ArcGIS REST services on geoportal.statistics.gov.uk,https://postcodes.io/docs,JSON REST API (no key); CSV bulk; ArcGIS REST/GeoJSON boundaries,Open Government Licence v3 (postcode data contains Royal Mail/OS derived IP with permitted use),"UK, ~2.6M postcodes",Quarterly (ONSPD); postcodes.io continuous,"Which LSOA, ward, borough, constituency and region is a postcode in? | What are the coordinates of a postcode (to join all the other datasets)? | Which statistical area should each census/IMD/crime figure be read from?"
epc,"Extras (property-level, same ecosystem)","Energy Performance Certificates (EPC) - energy rating, floor area, property type for most dwellings",DLUHC / MHCLG,https://epc.opendatacommunities.org/,https://epc.opendatacommunities.org/api/v1/domestic/search?postcode={postcode} (free API key),https://epc.opendatacommunities.org/docs/api,JSON/CSV REST API (free registration),OGL-style terms (attribution required),England & Wales,Monthly,"What is a property's energy rating, size (m2) and heating type? | How energy-efficient is the housing stock on this street?"
ofcom-broadband,Extras (connectivity),Ofcom Connected Nations - broadband speeds & mobile coverage per postcode,Ofcom,https://www.ofcom.org.uk/research-and-data/multi-sector-research/infrastructure-research,"https://api.ofcom.org.uk/ (broadband & mobile coverage APIs, free key); postcode CSV bulk downloads",https://api.ofcom.org.uk/,JSON REST API; CSV bulk,Ofcom open terms / OGL,"UK, per postcode",Annual (report); periodic API refresh,What broadband speeds (superfast/gigabit) are available at this postcode? | How good is 4G/5G coverage by operator?
inspire-polygons,Ownership & tenure,INSPIRE Index Polygons — freehold title boundaries (the shape of the plot),HM Land Registry,https://use-land-property-data.service.gov.uk/datasets/inspire,"https://use-land-property-data.service.gov.uk/datasets/inspire/download (per-council GML/SHP, monthly)",https://use-land-property-data.service.gov.uk/datasets/inspire,GML / Shapefile bulk (convertible to GeoJSON/PMTiles),Open Government Licence v3 (INSPIRE end-user licence),"England & Wales, ~24M title polygons",Monthly,"What is the actual plot boundary and land area of this property? | Does the garden extend where the listing photo implies? | Is there a separate title (garage, strip of land) attached or missing?"
ccod-ocod,Ownership & tenure,CCOD / OCOD — UK company and overseas-company property ownership,HM Land Registry,https://use-land-property-data.service.gov.uk/datasets/ccod,"https://use-land-property-data.service.gov.uk/api/v1/datasets/ccod (API key, free registration); OCOD equivalent",https://use-land-property-data.service.gov.uk/api,CSV via REST API,Free for non-commercial use; commercial licence available,England & Wales,Monthly,"Who owns the freehold — a person, a company, or an offshore entity? | Is a single landlord or developer accumulating property on this street? | Is the block owned by a company with a poor track record?"
companies-house,Ownership & tenure,"Companies House — company profiles, officers, filings, charges",Companies House,https://find-and-update.company-information.service.gov.uk/,https://api.company-information.service.gov.uk/search/companies?q={name} (free API key),https://developer.company-information.service.gov.uk/,JSON REST API,Open Government Licence v3,UK,Real-time,Is the freeholder / managing agent / developer solvent and who runs it? | How many other buildings does this landlord control? | Does the management company file accounts on time (a proxy for how a block is run)?
voa-council-tax,Ownership & tenure,Council Tax valuation bands (per-property band A–H) and VOA band statistics,Valuation Office Agency / GOV.UK,https://www.gov.uk/council-tax-bands,https://www.tax.service.gov.uk/check-council-tax-band/search (per-address lookup); bulk band counts: https://www.gov.uk/government/collections/council-tax-statistics,https://www.gov.uk/government/collections/council-tax-statistics,Web lookup + CSV/ODS statistical tables,Open Government Licence v3,England & Wales,Continuous (bands); annual (statistics),"What council tax band is this property, and what will the annual bill be? | How does the band mix of a street compare with neighbouring streets (a cheap proxy for property size/value)?"
council-tax-levels,Ownership & tenure,Council tax levels set by local authorities (Band D charge by council & parish),MHCLG,https://www.gov.uk/government/collections/council-tax-statistics,CSV/ODS releases on GOV.UK; joinable by local authority code,https://www.gov.uk/government/collections/council-tax-statistics,CSV / ODS,Open Government Licence v3,England (equivalents for Wales/Scotland),Annual (March),How much more council tax will I pay if I move one borough over? | Which councils give the lowest Band D charge in my search area?
planning-data,Planning & constraints,"Planning Data platform — conservation areas, green belt, Article 4 directions, tree preservation orders, listed-building outlines, flood zones, brownfield sites",MHCLG (planning.data.gov.uk),https://www.planning.data.gov.uk/dataset/,https://www.planning.data.gov.uk/entity.json?dataset=conservation-area&latitude={lat}&longitude={lng},https://www.planning.data.gov.uk/docs,JSON / GeoJSON REST API (no key),Open Government Licence v3,England,Continuous,"Is this property in a conservation area or green belt, or covered by an Article 4 direction? | Will I be able to add an extension, replace windows, or install solar panels? | Are there protected trees on or beside the plot?"
historic-england,Planning & constraints,"National Heritage List for England — listed buildings, scheduled monuments, parks & gardens, World Heritage Sites",Historic England,https://historicengland.org.uk/listing/the-list/,https://opendata-historicengland.hub.arcgis.com/ (ArcGIS REST FeatureServer + GeoJSON/SHP downloads),https://historicengland.org.uk/listing/the-list/data-downloads/,ArcGIS REST / GeoJSON / Shapefile,Open Government Licence v3,England,Continuous,"Is the building listed (Grade I/II*/II), and what does that restrict? | Are there heritage assets adjacent that constrain nearby development — or protect the view?"
planit-applications,Planning & constraints,Planning applications aggregated from every UK local authority register,PlanIt (open aggregator of LA planning portals),https://www.planit.org.uk/,https://www.planit.org.uk/api/applics/json?lat={lat}&lng={lng}&krad=1&recent=200,https://www.planit.org.uk/api/,JSON REST API (fair use; commercial terms for heavy use),Source records are OGL LA data; aggregator has its own terms,UK,Daily,"What is being built next door or on that empty plot? | Has the property itself had extensions approved or refused? | Is a tower block, HMO conversion, or development site proposed within 500m?"
bgs-geosure,Ground risk,"BGS GeoSure (subsidence, shrink–swell clay, landslide, soluble rocks) and Radon Potential",British Geological Survey,https://www.bgs.ac.uk/datasets/geosure/,https://map.bgs.ac.uk/arcgis/services (WMS/WFS); free viewers via OpenGeoscience: https://www.bgs.ac.uk/geological-data/opengeoscience/,https://www.bgs.ac.uk/geological-data/opengeoscience/,WMS/WFS map services (free viewing); licensed data for detailed use,Open viewing under BGS OpenGeoscience; commercial licence for full datasets,Great Britain,Periodic,Is this on shrink–swell clay likely to cause subsidence in dry summers? | Is the property in a high radon-potential area (radon test / mitigation needed)? | Is there landslide or sinkhole susceptibility here?
coal-authority,Ground risk,Mining Reporting Areas and coal mining hazards,The Coal Authority (Mining Remediation Authority),https://www.gov.uk/government/organisations/the-coal-authority,https://opendata-coalauthority.hub.arcgis.com/ (ArcGIS REST / GeoJSON),https://opendata-coalauthority.hub.arcgis.com/,ArcGIS REST / GeoJSON / Shapefile,Open Government Licence v3,Great Britain coalfields,Periodic,"Will a coal mining search be required for this purchase? | Is the property over historic workings, shafts, or at risk of mine-gas / ground movement?"
bods,Transport (extended),"Bus Open Data Service — timetables (TransXChange/GTFS), fares and real-time vehicle positions",Department for Transport,https://data.bus-data.dft.gov.uk/,https://data.bus-data.dft.gov.uk/api/v1/dataset/?api_key={key} (free key); GTFS-RT at /api/v1/gtfsrtdatafeed/,https://data.bus-data.dft.gov.uk/guidance/requirements/?section=api,JSON / XML / GTFS / GTFS-RT,Open Government Licence v3,England (buses outside London),Real-time + daily timetable updates,"How frequent is the bus service from this street, and at what times? | Can I reach the station/school by public transport before 8am?"
rail-data,Transport (extended),"Rail Data Marketplace / Darwin — timetables, live departures, station facilities",Rail Delivery Group / National Rail,https://raildata.org.uk/,"https://raildata.org.uk/ (Darwin Lite / Live Departure Boards, free registration)",https://wiki.openraildata.com/,SOAP/REST/JSON feeds,Free for registered users (National Rail terms),Great Britain,Real-time,How long is the train commute from this station and how reliable is it? | How many direct trains per hour to the city centre at peak?
journey-times,Transport (extended),"Journey Time Statistics — modelled travel time to schools, GPs, hospitals, food stores, town centres by mode (LSOA level)",Department for Transport,https://www.gov.uk/government/collections/journey-time-statistics,"CSV/ODS bulk on GOV.UK, keyed by LSOA",https://www.gov.uk/government/collections/journey-time-statistics,CSV / ODS,Open Government Licence v3,England (LSOA),Periodic,"How long does it take to reach a hospital, secondary school or supermarket from here — by car, bus, bike and on foot? | Is this area service-accessible or car-dependent?"
stats19,Transport (extended),"STATS19 road safety data — every reported injury collision with coordinates, severity, casualties",Department for Transport,https://www.data.gov.uk/dataset/cb7ae6f0-4be6-4935-9277-47e5ce24a11f/road-safety-data,CSV bulk (annual); also queryable via https://www.crashmap.co.uk/ and the R package stats19,https://www.data.gov.uk/dataset/cb7ae6f0-4be6-4935-9277-47e5ce24a11f/road-safety-data,CSV bulk,Open Government Licence v3,"Great Britain, since 1979",Annual,"How dangerous is the road outside — collisions, pedestrian and cyclist casualties? | Is the school-run route a known accident cluster?"
ncr-ev,Transport (extended),"National Chargepoint Registry — public EV charge points with location, speed and connector type",Department for Transport / OZEV,https://www.national-charge-point-registry.uk/,https://chargepoints.dft.gov.uk/api/retrieve/registry/format/json (no key),https://www.national-charge-point-registry.uk/,JSON / CSV REST,Open Government Licence v3,UK,Continuous,Can I charge an EV near this property without a driveway? | How many rapid chargers are within 1km?
cqc,Health & care,"CQC ratings and locations — GP practices, dentists, hospitals, care homes",Care Quality Commission,https://www.cqc.org.uk/about-us/transparency/using-cqc-data,https://api.service.cqc.org.uk/public/v1/locations?postalCode={postcode} (free subscription key),https://anypoint.mulesoft.com/exchange/portals/care-quality-commission-5/,JSON REST API,Open Government Licence v3,England,Continuous,Is the nearest GP practice rated Good or Outstanding — and is it accepting patients? | What is the quality of local care homes (relevant for later-life or family moves)?
ofsted-childcare,Health & care,"Ofsted childcare providers register — nurseries, pre-schools and childminders with inspection outcomes",Ofsted,https://www.gov.uk/government/statistical-data-sets/childcare-providers-and-inspections-management-information,CSV/ODS monthly management information on GOV.UK,https://www.gov.uk/government/organisations/ofsted/about/statistics,CSV / ODS,Open Government Licence v3,England,Monthly,What nursery and childminder capacity exists within a pram-push of this address? | How are local early-years providers rated?
os-data-hub,Geography backbone (all tabs),"OS Data Hub — OS Places (address/UPRN lookup), OS Open UPRN, OS Open Names, OS NGD features",Ordnance Survey,https://osdatahub.os.uk/,https://api.os.uk/search/places/v1/postcode?postcode={postcode}&key={key} (OS Open Data plan is free),https://osdatahub.os.uk/docs,JSON REST APIs; open datasets as CSV/GeoPackage/vector tiles,OS OpenData (OGL) for open products; premium plan for Places/NGD,Great Britain,Continuous / 6-weekly,"What is the canonical address and UPRN for this property (the key that joins EPC, planning and council records)? | What buildings, roads, paths and greenspace surround the plot?"
os-greenspace,Environment (Greenspace),OS Open Greenspace + Natural England green infrastructure / access to greenspace,Ordnance Survey / Natural England,https://www.ordnancesurvey.co.uk/products/os-open-greenspace,https://osdatahub.os.uk/downloads/open/OpenGreenspace; NE: https://naturalengland-defra.opendata.arcgis.com/ (ArcGIS REST),https://naturalengland-defra.opendata.arcgis.com/,GeoPackage / Shapefile / ArcGIS REST GeoJSON,Open Government Licence v3,Great Britain / England,Twice yearly / periodic,"How far is the nearest park, playing field or playground, and how big is it? | Does this address meet Natural England's accessible-greenspace standards?"
magic-designations,Environment (Designations),"MAGIC / Defra designations — National Parks, AONBs (National Landscapes), SSSIs, ancient woodland, agricultural land classification",Natural England / Defra,https://magic.defra.gov.uk/,https://naturalengland-defra.opendata.arcgis.com/ (ArcGIS REST / GeoJSON / WFS),https://naturalengland-defra.opendata.arcgis.com/,ArcGIS REST / GeoJSON / WFS,Open Government Licence v3,England,Continuous,"Is this inside a National Park or National Landscape (stricter planning, protected views)? | Is protected habitat adjacent that will stop development — or guarantee the outlook stays green?"
sport-england,Amenities,"Active Places Power — gyms, swimming pools, pitches, tennis courts with facility detail",Sport England,https://www.activeplacespower.com/,https://www.activeplacespower.com/API (free registration),https://www.activeplacespower.com/API,JSON/XML REST API; CSV extracts,Open (registration; attribution),England,Continuous,"Is there a pool, gym or pitch within walking distance, and is it public or private? | How well provisioned is this area for sport compared with the national average?"
listings-commercial,Extras (market & listings),"Live for-sale / to-let listings — not open data. Practical routes: PropertyData, Patma, Nestoria API, or portal partner feeds (Rightmove/Zoopla/OnTheMarket require commercial agreements)",Various commercial providers,https://propertydata.co.uk/,"https://api.propertydata.co.uk/ (key, paid); https://www.nestoria.co.uk/help/api (free, limited)",https://propertydata.co.uk/api,JSON REST APIs,Commercial — check terms; scraping portals breaches their T&Cs,UK,Daily / real-time,What is actually on the market right now matching my criteria? | What is the asking-price-to-sold-price gap in this postcode? | How long has this property been listed and has the price been cut?
